Type,A,B,HP,Win
0,10,5,11,147
0,10,5,12,133
0,10,5,13,140
0,10,5,14,137
0,10,5,15,132
0,10,5,16,133
0,10,5,17,142
0,10,5,18,159
0,10,5,19,159
0,10,5,20,144
0,10,5,21,151
0,10,5,22,169
0,10,5,23,160
0,10,5,24,161
0,10,5,25,167
0,10,5,26,177
0,10,5,27,169
0,10,5,28,181
0,10,5,29,165
0,10,5,30,179
0,10,8,1,28
0,10,8,2,28
0,10,8,3,28
0,10,8,4,17
0,10,8,5,95
0,10,8,6,98
0,10,8,7,95
0,10,8,8,94
0,10,8,9,117
0,10,8,10,137
0,10,8,11,147
0,10,8,12,129
0,10,8,13,131
0,10,8,14,137
0,10,8,15,124
0,10,8,16,133
0,10,8,17,148
0,10,8,18,145
0,10,8,19,150
0,10,8,20,145
0,10,8,21,146
0,10,8,22,174
0,10,8,23,162
0,10,8,24,166
0,10,8,25,162
0,10,8,26,170
0,10,8,27,170
0,10,8,28,183
0,10,8,29,175
0,10,8,30,171
0,10,10,1,29
0,10,10,2,24
0,10,10,3,32
0,10,10,4,31
0,10,10,5,92
0,10,10,6,113
0,10,10,7,99
0,10,10,8,102
0,10,10,9,128
0,10,10,10,132
0,10,10,11,132
0,10,10,12,129
0,10,10,13,143
0,10,10,14,126
0,10,10,15,135
0,10,10,16,139
0,10,10,17,143
0,10,10,18,164
0,10,10,19,146
0,10,10,20,152
0,10,10,21,147
0,10,10,22,166
0,10,10,23,167
0,10,10,24,162
0,10,10,25,160
0,10,10,26,159
0,10,10,27,180
0,10,10,28,176
0,10,10,29,172
0,10,10,30,176
0,10,12,1,26
0,10,12,2,29
0,10,12,3,30
0,10,12,4,30
0,10,12,5,89
0,10,12,6,118
0,10,12,7,88
0,10,12,8,96
0,10,12,9,133
0,10,12,10,130
0,10,12,11,146
0,10,12,12,136
0,10,12,13,129
