No,A,B,S,C,HP,Win,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
48,8,8,10,1,69,264,25,15,1,1,0,0,0,0,0,1,8,6,15,31,23,21,17,8,3,0,0,4,4,3,6,11,8,7,1,0,0,0,0,0,0,0,0,0,2,7,7,10,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,8,8,10,3,51,93,1,1,3,3,0,3,2,7,3,4,7,2,3,8,0,0,0,0,0,0,1,6,12,5,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,8,8,10,1,70,293,37,29,13,3,2,0,0,0,0,0,1,6,13,15,25,34,14,13,5,1,3,3,5,9,5,11,5,1,4,0,0,0,0,0,0,0,0,0,0,0,10,7,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8,8,10,1,71,347,43,24,25,11,6,0,0,0,0,0,1,2,5,17,20,33,24,14,13,7,1,0,5,5,10,3,6,11,9,5,2,0,0,0,0,0,0,0,0,0,3,10,12,3,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,8,8,10,3,52,101,8,0,1,2,3,2,1,1,6,4,4,8,3,7,7,0,0,0,0,0,0,1,7,8,14,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,8,8,10,1,72,398,40,44,38,26,18,5,1,0,0,0,0,0,2,3,13,23,22,27,21,12,4,4,2,4,7,2,7,8,2,12,5,1,0,0,0,0,0,0,0,0,0,0,13,12,6,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,8,8,10,3,53,97,17,5,2,2,0,1,2,1,4,4,6,5,8,0,7,0,0,0,0,0,0,0,1,5,4,9,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,8,8,10,1,74,468,32,30,39,43,39,36,16,6,0,0,0,0,0,0,0,7,17,20,23,20,16,11,2,1,1,7,7,4,7,5,15,8,8,2,0,0,0,0,0,0,0,0,0,0,10,10,9,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,8,8,10,3,54,139,18,10,4,1,0,0,3,2,5,3,5,2,7,10,2,8,7,0,0,0,0,0,0,0,12,15,7,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,8,8,10,1,73,422,46,45,48,29,28,20,5,0,0,0,0,0,0,0,5,8,18,19,18,12,18,4,3,0,2,14,6,4,5,5,4,8,0,0,0,0,0,0,0,0,0,0,0,8,13,3,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
