No,Type,A,B,S,C,HP,Win,Frame
597,0,11,3,5,11,53,0,0
595,0,11,3,5,11,51,1,566
598,0,11,3,5,11,54,2,1142
599,0,11,3,5,11,55,1,578
600,0,11,3,5,11,56,2,1193
601,0,11,3,5,11,57,1,626
602,0,11,3,5,11,58,1,595
604,0,11,3,5,11,60,2,1314
603,0,11,3,5,11,59,1,625
606,0,11,3,5,14,51,1,652
607,0,11,3,5,14,52,2,1218
609,0,11,3,5,14,54,1,630
605,0,11,3,5,14,50,1,600
608,0,11,3,5,14,53,1,636
614,0,11,3,5,14,59,0,0
611,0,11,3,5,14,56,1,536
613,0,11,3,5,14,58,2,1251
612,0,11,3,5,14,57,2,1323
616,0,11,5,5,6,50,2,1170
610,0,11,3,5,14,55,0,0
617,0,11,5,5,6,51,1,585
615,0,11,3,5,14,60,1,681
618,0,11,5,5,6,52,0,0
619,0,11,5,5,6,53,0,0
620,0,11,5,5,6,54,1,616
623,0,11,5,5,6,57,2,1210
622,0,11,5,5,6,56,1,594
621,0,11,5,5,6,55,2,1375
625,0,11,5,5,6,59,2,1269
627,0,11,5,5,9,50,1,605
624,0,11,5,5,6,58,1,707
628,0,11,5,5,9,51,2,1176
626,0,11,5,5,6,60,1,702
629,0,11,5,5,9,52,1,614
630,0,11,5,5,9,53,1,592
633,0,11,5,5,9,56,0,0
632,0,11,5,5,9,55,1,612
635,0,11,5,5,9,58,2,1248
631,0,11,5,5,9,54,0,0
636,0,11,5,5,9,59,2,1233
640,0,11,5,5,11,52,0,0
638,0,11,5,5,11,50,1,620
639,0,11,5,5,11,51,0,0
643,0,11,5,5,11,55,1,528
634,0,11,5,5,9,57,2,1604
637,0,11,5,5,9,60,2,1196
641,0,11,5,5,11,53,1,585
642,0,11,5,5,11,54,2,1180
644,0,11,5,5,11,56,1,660
645,0,11,5,5,11,57,1,557
646,0,11,5,5,11,58,2,1403
647,0,11,5,5,11,59,0,0
649,0,11,5,5,14,50,0,0
648,0,11,5,5,11,60,1,596
652,0,11,5,5,14,53,2,1168
650,0,11,5,5,14,51,2,1278
653,0,11,5,5,14,54,1,604
656,0,11,5,5,14,57,1,566
655,0,11,5,5,14,56,2,1123
654,0,11,5,5,14,55,0,0
651,0,11,5,5,14,52,0,0
658,0,11,5,5,14,59,2,1226
659,0,11,5,5,14,60,1,615
657,0,11,5,5,14,58,1,742
660,0,11,8,5,6,50,2,1210
662,0,11,8,5,6,52,1,643
661,0,11,8,5,6,51,2,1377
664,0,11,8,5,6,54,2,1225
666,0,11,8,5,6,56,2,1103
665,0,11,8,5,6,55,1,614
663,0,11,8,5,6,53,0,0
667,0,11,8,5,6,57,0,0
669,0,11,8,5,6,59,1,591
673,0,11,8,5,9,52,2,1154
668,0,11,8,5,6,58,1,756
671,0,11,8,5,9,50,1,639
675,0,11,8,5,9,54,1,570
670,0,11,8,5,6,60,0,0
672,0,11,8,5,9,51,1,648
674,0,11,8,5,9,53,2,1396
680,0,11,8,5,9,59,1,567
676,0,11,8,5,9,55,2,1146
677,0,11,8,5,9,56,2,1263
678,0,11,8,5,9,57,2,1287
681,0,11,8,5,9,60,2,1218
684,0,11,8,5,11,52,1,571
682,0,11,8,5,11,50,2,1203
683,0,11,8,5,11,51,1,776
679,0,11,8,5,9,58,1,660
690,0,11,8,5,11,58,1,654
691,0,11,8,5,11,59,1,623
688,0,11,8,5,11,56,2,1150
686,0,11,8,5,11,54,2,1463
689,0,11,8,5,11,57,1,596
692,0,11,8,5,11,60,2,1126
687,0,11,8,5,11,55,1,627
695,0,11,8,5,14,52,1,643
685,0,11,8,5,11,53,1,792
693,0,11,8,5,14,50,1,638
694,0,11,8,5,14,51,1,583
696,0,11,8,5,14,53,1,586
697,0,11,8,5,14,54,1,569
698,0,11,8,5,14,55,2,1168
703,0,11,8,5,14,60,1,563
700,0,11,8,5,14,57,1,768
699,0,11,8,5,14,56,1,595
704,0,11,11,5,6,50,1,445
702,0,11,8,5,14,59,1,591
701,0,11,8,5,14,58,2,1137
706,0,11,11,5,6,52,1,705
705,0,11,11,5,6,51,1,614
710,0,11,11,5,6,56,1,548
713,0,11,11,5,6,59,1,592
709,0,11,11,5,6,55,1,632
707,0,11,11,5,6,53,1,893
708,0,11,11,5,6,54,2,1555
711,0,11,11,5,6,57,2,1248
714,0,11,11,5,6,60,2,1128
712,0,11,11,5,6,58,2,1333
716,0,11,11,5,9,51,2,1269
715,0,11,11,5,9,50,1,573
717,0,11,11,5,9,52,2,1217
720,0,11,11,5,9,55,0,0
718,0,11,11,5,9,53,1,562
721,0,11,11,5,9,56,2,1069
724,0,11,11,5,9,59,2,1022
719,0,11,11,5,9,54,2,1293
723,0,11,11,5,9,58,2,1220
725,0,11,11,5,9,60,1,629
726,0,11,11,5,11,50,1,581
728,0,11,11,5,11,52,2,1115
727,0,11,11,5,11,51,2,1382
722,0,11,11,5,9,57,2,1572
729,0,11,11,5,11,53,1,475
730,0,11,11,5,11,54,2,1147
732,0,11,11,5,11,56,1,617
731,0,11,11,5,11,55,1,569
734,0,11,11,5,11,58,1,620
733,0,11,11,5,11,57,1,623
743,0,11,11,5,14,56,0,0
739,0,11,11,5,14,52,1,628
737,0,11,11,5,14,50,2,1239
735,0,11,11,5,11,59,0,0
736,0,11,11,5,11,60,1,626
740,0,11,11,5,14,53,1,634
738,0,11,11,5,14,51,0,0
745,0,11,11,5,14,58,2,1233
742,0,11,11,5,14,55,1,565
741,0,11,11,5,14,54,2,1213
744,0,11,11,5,14,57,1,619
747,0,11,11,5,14,60,0,0
746,0,11,11,5,14,59,2,1399
748,0,11,13,5,6,50,0,0
750,0,11,13,5,6,52,1,574
749,0,11,13,5,6,51,0,0
751,0,11,13,5,6,53,2,1171
759,0,11,13,5,9,50,1,625
753,0,11,13,5,6,55,0,0
757,0,11,13,5,6,59,1,554
752,0,11,13,5,6,54,1,760
